event,n_star,deltaF_rms_at_n_star,deltatau_rms_at_n_star,score_alpha_beta
sample_000001.npz,2.0,0.3538584647448593,0.002166851841338132,0.35602531658619746
sample_000002.npz,2.0,0.39797987948925095,0.0015036102652037624,0.3994834897544547
sample_000003.npz,32.0,0.6104092677735011,0.00032758455266274165,0.6107368523261639
sample_000004.npz,2.0,0.8642290260084095,0.0061742002400240175,0.8704032262484335
sample_000005.npz,0.5,0.699650201396039,0.009894644610694964,0.709544846006734
sample_000006.npz,1.0,1.0837404139670506,0.010030839144191213,1.0937712531112418
sample_000007.npz,16.0,1.0761387994829004,0.00028162221389903567,1.0764204216967994
sample_000008.npz,0.5,0.5761091689700367,0.002347592410075549,0.5784567613801123
sample_000009.npz,1.0,0.8858786775350606,0.008219202927933081,0.8940978804629937
sample_000010.npz,8.0,0.4813669390618761,0.001038665601183741,0.4824056046630599
sample_000011.npz,1.0,0.585331760138728,0.003077992901420981,0.588409753040149
sample_000012.npz,8.0,0.9815924789406264,0.010615458639011203,0.9922079375796377
sample_000013.npz,64.0,0.8733038629345062,0.01381779994214635,0.8871216628766526
sample_000014.npz,1.0,0.48530091187974805,0.0036599415331682954,0.48896085341291634
sample_000015.npz,16.0,0.4304257582056572,0.006725797787858823,0.437151555993516
sample_000016.npz,0.5,0.5494759581037861,0.010613719624284227,0.5600896777280704
sample_000017.npz,64.0,0.3868284021266477,0.0047844904980483905,0.3916128926246961
sample_000018.npz,8.0,0.4780125075463881,0.010056312141106923,0.488068819687495
sample_000019.npz,2.0,0.4473692579786912,0.006871962238571208,0.45424122021726243
sample_000020.npz,8.0,1.0922010411798058,0.0020963050545623027,1.0942973462343681
sample_000021.npz,2.0,1.0048403960993781,0.004695993148904199,1.0095363892482823
sample_000022.npz,64.0,0.9202688177428101,0.0014668644586695685,0.9217356822014797
sample_000023.npz,4.0,0.7720938252843286,0.004075576511196453,0.7761694017955251
sample_000024.npz,32.0,0.5948824505049682,0.006644347188451439,0.6015267976934197
sample_000025.npz,4.0,0.9216213989164588,0.0015720343408025163,0.9231934332572613
sample_000026.npz,8.0,0.7592237563903517,0.00025540073973272817,0.7594791571300844
sample_000027.npz,1.0,1.0228570883386336,0.004315491465731093,1.0271725798043647
sample_000028.npz,2.0,0.5799240025619419,0.0008599875383999891,0.5807839901003419
sample_000029.npz,64.0,1.256101347599169,0.0024220254545454364,1.2585233730537144
sample_000030.npz,4.0,1.0483494060245326,0.0068512718527540244,1.0552006778772867
sample_000031.npz,1.0,0.47172828221764246,0.002078885160208041,0.4738071673778505
sample_000032.npz,16.0,0.7753831414761607,0.010232922726935215,0.7856160642030959
sample_000033.npz,2.0,0.8061060919319996,0.0012038300394791443,0.8073099219714787
sample_000034.npz,4.0,0.6672250657912446,0.011617525666116357,0.678842591457361
sample_000035.npz,4.0,0.7332437184260632,0.006654579497845111,0.7398982979239083
sample_000036.npz,1.0,1.0616654345844796,0.011219584413287293,1.0728850189977668
sample_000037.npz,2.0,0.9209903383329917,0.004229266071918655,0.9252196044049104
